nombre,Fortalezas,Debilidades
Piccolo,"['Fuerza y habilidades de Namekiano', 'Estrategia', 'Regeneración']","['Limitaciones físicas', 'Dependencia de la meditación']"
Son Goku,"['Fuerza Saiyan', 'Transformaciones', 'Técnicas de Ki', 'Habilidades de combate']","['Impulsividad', 'Consumo de energía']"
Syn Shenron,"['Fuerza extrema', 'Manipulación de energía']","['Arrogancia', 'Dependencia de las esferas del dragón']"
Trunks,"['Fuerza Saiyan', 'Transformaciones', 'Habilidades de combate']","['Impulsividad', 'Dependencia emocional']"
Uub,"['Potencial humano', 'Habilidades de combate']","['Inexperiencia', 'Confianza en sí mismo']"
Android 16,"['Fuerza sobrehumana', 'Inmortalidad']","['Emocionalidad', 'Dependencia de órdenes']"
Android 17,"['Fuerza sobrehumana', 'Inmortalidad']","['Arrogancia', 'Independencia']"
Android 18,"['Fuerza sobrehumana', 'Inmortalidad']","['Arrogancia', 'Independencia']"
Android 19,"['Fuerza sobrehumana', 'Absorción de energía']","['Dependencia de energía', 'Desconocimiento de emociones']"
Aniraza,"['Fuerza sobrehumana', 'Habilidades de combate']","['Consumo de energía', 'Falta de estrategia']"
Arak,['Desconocido'],['Desconocido']
Bandages The Mummy,"['Resistencia', 'Fuerza física']","['Velocidad limitada', 'Dependencia de órdenes']"
Bardock (Super Saiyan),"['Fuerza sobrehumana', 'Transformaciones Saiyan']","['Arrogancia', 'Impulsividad']"
Bardock,"['Fuerza sobrehumana', 'Habilidades de combate']","['Arrogancia', 'Impulsividad']"
Basil,"['Fuerza sobrehumana', 'Velocidad']","['Arrogancia', 'Inexperiencia']"
Beerus,"['Poder divino', 'Fuerza sobrehumana', 'Vuelo']","['Arrogancia', 'Dependencia emocional']"
Belmod,"['Poder divino', 'Fuerza sobrehumana']",['Desconocido']
Bergamo,"['Fuerza sobrehumana', 'Absorción de energía']","['Consumo de energía', 'Dependencia de ataques']"
Biarra,"['Fuerza sobrehumana', 'Resistencia']",['Desconocido']
Bido,"['Fuerza sobrehumana', 'Habilidades de combate']",['Desconocido']
Bikal,['Desconocido'],['Desconocido']
Black Frieza,"['Fuerza sobrehumana', 'Transformaciones']","['Arrogancia', 'Malicia']"
Bojack,"['Fuerza sobrehumana', 'Habilidades de combate']","['Arrogancia', 'Impulsividad']"
Borareta,"['Fuerza sobrehumana', 'Resistencia']",['Desconocido']
Botamo,"['Fuerza sobrehumana', 'Absorción de energía']","['Lentitud', 'Dependencia de ataques']"
Broly (Z),"['Fuerza sobrehumana extrema', 'Transformaciones Saiyan']","['Arrogancia', 'Falta de control']"
Broly (Ikari),"['Fuerza sobrehumana extrema', 'Transformaciones Saiyan']","['Arrogancia', 'Falta de control']"
Broly (Super Saiyan),"['Fuerza sobrehumana extrema', 'Transformaciones Saiyan']","['Arrogancia', 'Falta de control']"
Broly,"['Fuerza sobrehumana extrema', 'Transformaciones Saiyan']","['Arrogancia', 'Falta de control']"
Bujin,['Desconocido'],['Desconocido']
Burter,"['Velocidad extrema', 'Fuerza sobrehumana']","['Arrogancia', 'Dependencia de velocidad']"
Buu (Good),"['Regeneración', 'Fuerza sobrehumana']","['Inocencia', 'Falta de estrategia']"
Buu (Grand Supreme Kai),"['Regeneración', 'Fuerza sobrehumana']",['Desconocido']
Buuhan,"['Regeneración', 'Fuerza sobrehumana', 'Absorción de energía']","['Arrogancia', 'Dependencia de absorciones']"
Buutenks,"['Regeneración', 'Fuerza sobrehumana', 'Absorción de energía']","['Arrogancia', 'Dependencia de absorciones']"
Cabba (Super Saiyan),"['Fuerza sobrehumana', 'Transformaciones Saiyan']","['Inexperiencia', 'Dependencia emocional']"
Cabba (Super Saiyan 2),"['Fuerza sobrehumana', 'Transformaciones Saiyan']","['Inexperiencia', 'Dependencia emocional']"
Cabba,"['Fuerza sobrehumana', 'Habilidades de combate']","['Inexperiencia', 'Dependencia emocional']"
Dende,"['Curación', 'Sabiduría']","['Fuerza limitada', 'Dependencia de protección']"
Dercori,['Desconocido'],['Desconocido']
Dodoria,"['Fuerza sobrehumana', 'Resistencia']","['Arrogancia', 'Dependencia de órdenes']"
Dore,"['Fuerza sobrehumana', 'Habilidades de combate']",['Desconocido']
Dr Gero,"['Inteligencia', 'Tecnología avanzada']","['Fuerza limitada', 'Dependencia de androides']"
Dyspo (Super Maximum Light Speed),"['Velocidad extrema', 'Fuerza sobrehumana']","['Dependencia de velocidad', 'Consumo de energía']"
Dyspo,"['Velocidad extrema', 'Fuerza sobrehumana']","['Dependencia de velocidad', 'Consumo de energía']"
Frieza,"['Fuerza sobrehumana', 'Transformaciones', 'Inteligencia']","['Arrogancia', 'Crueldad']"
Frieza (First Form),"['Fuerza sobrehumana', 'Inteligencia']","['Arrogancia', 'Crueldad']"
Frieza (Second Form),"['Fuerza sobrehumana', 'Transformaciones']","['Arrogancia', 'Crueldad']"
Frieza (Third Form),"['Fuerza sobrehumana', 'Transformaciones']","['Arrogancia', 'Crueldad']"
Fusion Zamasu,"['Fuerza divina', 'Inmortalidad']","['Arrogancia', 'Instabilidad mental']"
Future Trunks (Cell Saga),"['Fuerza sobrehumana', 'Habilidades de combate']","['Impulsividad', 'Emocionalidad']"
Gogeta,"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Gogeta (Super Saiyan),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Gogeta (Super Saiyan Blue),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Gohan (Beast),"['Fuerza sobrehumana', 'Habilidades de combate']","['Inestabilidad emocional', 'Impulsividad']"
Gohan (Potential Unleashed),"['Fuerza sobrehumana', 'Habilidades de combate', 'Transformaciones']","['Inexperiencia', 'Dependencia emocional']"
Gohan (SS2),"['Fuerza sobrehumana', 'Habilidades de combate', 'Transformaciones Saiyan']","['Inexperiencia', 'Impulsividad']"
Gohan (Super Saiyan),"['Fuerza sobrehumana', 'Habilidades de combate', 'Transformaciones Saiyan']","['Inexperiencia', 'Impulsividad']"
Gohan,"['Fuerza sobrehumana', 'Habilidades de combate']","['Inexperiencia', 'Dependencia emocional']"
Goku (Super Saiyan Blue Kaioken),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Consumo de energía', 'Fatiga']"
Goku,"['Fuerza sobrehumana', 'Habilidades de combate', 'Transformaciones Saiyan', 'Técnicas de Ki']","['Impulsividad', 'Consumo de energía']"
Goku (Mastered Ultra Instinct),"['Fuerza sobrehumana extrema', 'Reflejos perfectos', 'Transformaciones Saiyan']","['Consumo de energía', 'Dependencia emocional']"
Goku (Saiyan Saga),"['Fuerza sobrehumana', 'Habilidades de combate']","['Impulsividad', 'Inexperiencia']"
Goku (True Ultra Instinct),"['Fuerza sobrehumana extrema', 'Reflejos perfectos', 'Transformaciones Saiyan']","['Consumo de energía', 'Dependencia emocional']"
Goku (Super Saiyan God),"['Fuerza sobrehumana extrema', 'Velocidad', 'Transformaciones Saiyan']","['Consumo de energía', 'Dependencia emocional']"
Goku (Super Saiyan 2),"['Fuerza mejorada', 'Habilidades de combate']","['Consumo de energía', 'Menor resistencia']"
Goku (Ultra Instinct),"['Fuerza sobrehumana extrema', 'Reflejos perfectos']","['Consumo de energía', 'Dependencia emocional']"
Goku (Super Saiyan Blue),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Consumo de energía', 'Fatiga']"
Goku (Super Saiyan 3),"['Fuerza sobrehumana', 'Habilidades de combate', 'Técnicas de Ki']","['Consumo de energía', 'Fatiga']"
Goku Black (Super Saiyan Rosé),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Arrogancia', 'Malicia']"
Goku Black,"['Fuerza sobrehumana extrema', 'Habilidades de combate']","['Arrogancia', 'Malicia']"
Goten (Super Saiyan),"['Fuerza Saiyan', 'Transformaciones', 'Habilidades de combate']","['Inexperiencia', 'Impulsividad']"
Goten,"['Fuerza Saiyan', 'Transformaciones', 'Habilidades de combate']","['Inexperiencia', 'Impulsividad']"
Gotenks (Super Saiyan 3),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Gotenks (SS2),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Grand Priest,"['Poder divino extremo', 'Inteligencia']",['Desconocido']
Jaco,"['Velocidad', 'Habilidades de combate']","['Fuerza limitada', 'Arrogancia']"
Kami,"['Sabiduría', 'Habilidades de Namekiano']","['Fuerza limitada', 'Dependencia de Piccolo']"
Kid Buu,"['Regeneración', 'Fuerza sobrehumana', 'Destrucción']","['Falta de control', 'Impulsividad']"
Kid Gohan,"['Fuerza sobrehumana', 'Habilidades de combate']","['Inexperiencia', 'Dependencia emocional']"
Kid Goku,"['Fuerza sobrehumana', 'Habilidades de combate']","['Inexperiencia', 'Impulsividad']"
King Vegeta,"['Fuerza sobrehumana', 'Habilidades de combate']","['Arrogancia', 'Crueldad']"
Krillin,"['Habilidades de combate', 'Estrategia']","['Fuerza limitada', 'Dependencia emocional']"
Vegeta (Ascended Super Saiyan),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Arrogancia', 'Consumo de energía']"
Vegeta (Unbound Ultra Ego),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Arrogancia', 'Consumo de energía']"
Vegeta (Super Saiyan Blue Evolved),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Consumo de energía', 'Arrogancia']"
Vegeta (Super Saiyan 2),"['Fuerza mejorada', 'Habilidades de combate']","['Consumo de energía', 'Menor resistencia']"
Vegeta (Super Saiyan Blue),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Consumo de energía', 'Fatiga']"
Vegeta (Hakai Energy),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Consumo de energía', 'Arrogancia']"
Vegeta (Super Saiyan),"['Fuerza mejorada', 'Habilidades de combate']","['Consumo de energía', 'Menor resistencia']"
Vegeta,"['Fuerza sobrehumana', 'Habilidades de combate']","['Arrogancia', 'Impulsividad']"
Vegeta (Super Saiyan God),"['Fuerza sobrehumana extrema', 'Velocidad', 'Transformaciones Saiyan']","['Consumo de energía', 'Dependencia emocional']"
Vegito,"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
Vegito (Super Saiyan),"['Fuerza sobrehumana extrema', 'Habilidades de combate', 'Transformaciones Saiyan']","['Tiempo limitado', 'Consumo de energía']"
